city_name,city_english_name,center,restaurant_lang,lang,size
Aachen,Aachen,"50.7596743,5.9564408",restaurant,de,large
Amsterdam,Amsterdam,"52.3547925,4.7638769",restaurant,nl,normal
Ancona,Ancona,"43.5822746,13.4367862",ristorante,it,small
Antwerpen,Antwerp,"51.2603967,4.2176912",restaurant,en,normal
arosa,arosa,"46.7640236,9.5947863",restaurant,ch,normal
Athens,Athens,"37.9908997,23.7033198",εστιατόριο,gr,large
Barcelona,Barcelona,"41.3927755,2.0701489",restaurante,es,normal
Bari,Bari,"41.1112924,16.742001",ristorante,it,normal
Bassano del Grappa,Bassano del Grappa,"45.7640013,11.6918746",ristorante,it,large
bayreuth,bayreuth,"49.9326415,11.4338761",restaurant,de,normal
Belgrade,Belgrade,"44.8153883,20.1417229",Ресторан,sr,normal
Berlin,Berlin,"52.5069312,13.1445495",restaurant,de,normal
Bologna,Bologna,"44.4992192,11.2616454",ristorante,it,normal
bordeaux,bordeaux,"44.8636964,-0.6560507",restaurant,fr,normal
Bretagne,Brittany,"48.0858159,-4.1995559",restaurante,fr,crazy_large
Brussels,Brussels,"50.8552114,4.3053772",restaurante,fr,normal
Cadiz,Cadiz,"36.5164503,-6.3174867",restaurante,es,normal
Cape Town,Cape Town,"-33.9152208,18.3758767",restaurant,en,large
Catania,Catania,"37.4908267,15.0074777",ristorante,it,normal
Chicago,Chicago,"41.8336479,-87.8720466",restaurant,en,large
Copenhagen,Copenhagen,"55.6713442,12.5237842",restaurant,da,normal
cordoba,cordoba,"37.8915392,-4.8195044",restaurante,es,normal
Cuxhaven,Cuxhaven,"53.8256472,8.6374626",restaurant,de,normal
Dublin,Dublin,"53.3244431,-6.3857875",restaurant,en,normal
Firenze,Florence,"43.7799368,11.1709292",ristorante,it,normal
Frankfurt,Frankfurt,"50.1213479,8.4964799",restaurant,de,normal
Freiburg,Freiburg,"47.9874558,7.6563358",restaurant,de,normal
French Alps,French alps,"45.8200752,6.8661673",restaurante,fr,very_large
Friuli,Friuli,"46.1139515,12.5594561",ristorante,it,very_large
Geneva,Geneva,"46.2050242,6.1090694",restaurant,ch,normal
Goteborg,Gothenburg,"57.7006827,11.6136766",restaurang,se,normal
Haarlem,Haarlem,"52.3837711,4.5728393",restaurant,nl,normal
Halle,Hall,"51.4729687,11.9023332",restaurant,de,small
Hamburg,Hamburg,"53.5586526,9.64764",restaurant,de,normal
Huston,Huston,"30.0327738,-90.0226477",restaurant,en,large
Istanbul,Istanbul,"41.0049823,28.732",restaurant,en,very_large
Jersey City,Jersey City,"40.7152392,-74.1037503",restaurant,en,large
Koln,Cologne,"50.9578353,6.8272386",restaurant,de,normal
Krakow,Cracow,"50.0469018,19.8647891",restauracja,pl,normal
kuldiga,kuldiga,"56.9705826,21.9270364",restaurant,lt,normal
Langhe,Langhe,"44.6630732,8.0570144",ristorante,it,very_large
Larissa,Larissa,"39.6310034,22.3891268",εστιατόριο,en,normal
lausanne,Lausanne,"46.5284586,6.5824563",restaurant,ch,normal
Lisboa,Lisbon,"38.7437396,-9.2302436",restaurante,pt,normal
London,London,"51.5287352,-0.3817816",restaurant,en,large
